Fuente,Author,Title,Cant.,Abstract,Cant.,Keywords,Cant.,Publication Title,Year,Url
Gscholar,"Quiroga, María Rosana",Plan de asignatura Psicología del Desarrollo con enfoque interdisciplinar,0,"En el marco de la asignatura Psicología del Desarrollo del Profesorado Universitario en Ciencias Económicas, carrera de la Universidad Nacional de Chilecito se propone una experiencia de trabajo de carácter interdisciplinar entre diferentes asignaturas de formación pedagógica de la carrera antes mencionada. Esta experiencia persigue un doble objetivo, por una parte, utilizar estrategias innovadoras en la formación de docentes y planificar actividades que permitan articular distintas asignaturas de la carrera profundizando la relación entre las disciplinas a través de la articulación teoría y práctica. Se trabajarán estrategias para el logro del aprendizaje significativo y estrategias para el logro del aprendizaje colaborativo",0,Articulación; interdisciplinariedad; estrategias; aprendizaje significativo; aprendizaje colaborativo,0,Innovacesal,2013,http://www.innovacesal.org/innova_public/archivos/publica/area05_tema04/264/archivos/redIC_HCS_interdisc_04_2013.pdf
Gscholar,"Stieben, Leandro Indavera",La mano invisible y la defensa nacional,0,"En este artículo se analizará el pasaje de la mano invisible en Investigaciones sobre la naturaleza y causa de la riqueza de las naciones. Se mostrará que el resultado esperado por la acción de la mano invisible, la maximización del producto total anual, algunas veces es un obstáculo para la defensa de las naciones. Para comprender cabalmente este punto analizaremos previamente algunas cuestiones en relación con el pasaje de la mano invisible",0,Mano Invisible; Defensa; Nacional,0,Revista de filosofía y teoría política,2013,http://www.rfytp.fahce.unlp.edu.ar/article/view/RFyTPn44a01/html_132
Scielo,"Luna Toledo, E. S.; Figuerola, P. I.; Abril, E. G.; Ravelo, A. C.",La fracción evaporativa en diferentes regiones agrícolas y naturales del centro-noroeste de la Argentina,0,"La fracción evaporativa (FE) permite cuantificar la porción de la energía disponible usada en el proceso de evapotranspiración. Se obtuvo la distribución espacial de la FE para cinco tipos de cobertura: árboles, cultivos, pastizales, arbustos y suelo desnudo de cinco ecorregiones del centro-noroeste de la Argentina, usando productos del sensor MODIS-TERRA. FE se calculó mediante el método triangular según la relación entre la fracción de la cobertura de suelo (Fr) y la temperatura de superficie (Ts). Ambas variables fueron correlacionadas para cada tipo de cobertura por ecorregión. Fr y Ts están inversamente asociadas, y diferentes coberturas por ecorregiones mostraron cambios en la pendiente de la recta entre ambas variables debido a cambios en el porcentaje y el tipo de cobertura, en los gradientes pluviométricos y en la estructura de la vegetación. Los valores medios de Fr y FE por ecorregiones y tipo de cobertura fueron procesados mediante el análisis de la varianza y por comparaciones múltiples de Fisher. Existen diferencias estadísticas significativas en las variables Fr y FE según el tipo de cobertura, y la ecorregión y la relación entre Fr y FE no es lineal. Finalmente, se generó un mapa con la distribución espacial de la FE",0,Fracción evaporativa; Ecorregiones; MODIS; Heterogeneidad,0,Agriscientia,2013,http://www.scielo.org.ar/scielo.php?pid=S1668-298X2013000100002&script=sci_arttext
Gscholar,"Capllonch P., Lobo Allende R.",DISTRIBUCIÓN DE LA MARTINETA CHAQUEÑA (Eudromia formosa formosa) EN LA REGIÓN CHAQUEÑA DE LA ARGENTINA ,0,"En la presente contribución se aportan datos sobre la presencia y abundancia de la Martineta Chaqueña (Eudromia formosa) en 41 localidades del norte de la Argentina. Se ha comprobado que en ciertas zonas a lo largo de la ruta que une la localidad de Suncho Corral en la provincia de Santiago del Estero y Roque Sáenz Peña, en la provincia del Chaco, ha desaparecido debido principalmente a la modificación del ambiente por los extensos sembradíos de soja. Se considera que Eudromia formosa formosa y Eudromia formosa mira pertenecerían a una misma raza geográfica y no a razas distintas. Adicionalmente se propone aquí que la recuperación de esta especie es posible mediante el control de la caza ilegal y de los desmontes ilegales",0,,0,Revista Nótulas,2013,http://www.fundacionazara.org.ar/img/notulas-faunisticas/articulos/notula-113.pdf
Gscholar,"Germán, Antequera; Luis, Navarrete José; Gabriela, Starabinsky; Walte, Robledo",Eficiencia Técnica en el Sector Olivícola en la Provincia de La Rioja,0,"El objetivo del presente trabajo es analizar la eficiencia de las firmas olivícolas en la provincia de La Rioja. Para ello, se emplea la técnica de Análisis de Envolvente de Datos (DEA), la cual nos permite calcular los scores de eficiencia de las firmas analizadas y comparar su eficiencia relativa. Los resultados sugieren que existen marcadas diferencias entre las empresas pertenecientes al sector, identificándose la escala de producción y la cantidad de trabajadores empleados como los principales factores que influyen en la eficiencia relativa.",0,"Análisis de Envolvente de Datos, Producción de Olivo, Eficiencia Técnica",0,XLVIII Reunión Anual,2013,http://www.aaep.org.ar/anales/works/works2013/antequera.pdf
Gscholar,"del Carmen Lorenzatti, María; Ligorria, Verónica",Nudos de discusión sobre la Formación Docente Universitaria en países del MERCOSUR,0,"Una de las consecuencias de entender que los estudios superiores son un bien público y social, un derecho humano universal y una responsabilidad de los estados, tal como lo sostiene la Conferencia Regional de Educación Superior reunida en Cartagena de Indias (2008), es apostar fuertemente a la revisión de las prácticas docentes universitarias. En este artículo se presentan los resultados del proyecto “Construcción cooperativa de políticas y estrategias de formación de docentes universitarios en la región”, coordinado desde la Secretaría de Asuntos Académicos de la Universidad Nacional de Córdoba y con la participación de nueve universidades del Mercosur Educativo. El propósito central del proyecto fue “desarrollar redes de cooperación para el fortalecimiento de la formación docente universitaria (FDU) a nivel regional”. El grupo de universidades participantes se propusieron producir conocimientos sobre el estado de las políticas de formación docente en cada universidad y su relación con los sistemas de acceso, permanencia y promoción de los profesores. En este artículo se presentan, de manera sintética, las características del proyecto, la metodología desarrollada, algunos nudos de discusión sobre la docencia universitaria que tuvieron lugar en los encuentros con el grupo de universidades y, finalmente, desafíos o líneas de trabajo conjunto",0,Formación docente – universidad – profesorado universitario,0,Integración y Conocimiento,2013,http://revistas.unc.edu.ar/index.php/integracionyconocimiento/article/view/5695
Gscholar,"Antúnez, Damián",El gobierno bonaerense de Victorio Calabró: entre la intervención federal y el golpe de Estado,0,"En este artículo se abordan los dos años de gobierno de Victorio Calabró en la provincia de Buenos Aires, ahondando en la inminencia de la intervención federal hacia diciembre de 1975/enero de 1976 para adentrarnos, posteriormente, en los determinantes de la crisis política que atravesó los últimos meses y hasta los últimos días del gobierno de la viuda de Perón en lo que respecta a la relación nación-provincia. En definitiva, se trata de un gobierno que fue hijo dilecto de un prolongado y sangrante proceso de desintegración de la coalición política gobernante. Así, la disfunción de los mecanismos democráticos pone en evidencia el modo en que la confrontación política gobierno-oposición fue desde un primer momento reemplazada por la lucha facciosa en el seno de la coalición gobernante, hasta el punto de aliarse con los militares golpistas para enfrentar a la presidente",0,Calabró- Buenos Aires- Isabel Perón- Intervención federal- Golpe de Estado,0,PolHis: Boletín Bibliográfico Electrónico,2013,http://dialnet.unirioja.es/servlet/articulo?codigo=4739730
Redalyc,"Ferreyra, Horacio; Vidales, Silvia; Kowadlo, Marta; Bono, Laura; Bonetti, Olga",Hacia La Educación Secundaria Obligatoria. Notas Del Proceso En La República Argentina,0,"El presente ensayo se propone revisar y discutir las transformaciones por las que está atravesando la Educación Media/Secundaria en Argentina, en el contexto de un período de transición y resignificación, donde conviven factores vinculados a los dos últimos marcos normativos: la Ley Federal de Educación Nº 24.195 y la Ley de Educación Nacional N.º 26.206. Para ello, se identifican los cambios institucionales y pedagógicos más relevantes que se han suscitado en el lapso que abarca desde el año 2001 hasta la fecha y se reflexiona sobre ellos. Posteriormente, se focaliza el análisis en torno a los logros alcanzados y los desafíos pendientes. Se concluye que -bajo el denominador común de un modelo de trabajo participativo- existe continuidad en las líneas de trabajo, aunque cabe reconocer que la situación en el país es diversa y que restan acciones a concretar y aspectos a fortalecer",0,"POLÍTICA EDUCATIVA, EDUCACIÓN MEDIA, EDUCACIÓN SECUNDARIA, NORMATIVA, OBLIGATORIEDAD, ACUERDOS FEDERALES, PROGRAMAS, ARGENTINA",0,"Revista Electrónica ""Actualidades Investigativas en Educación""",2013,http://antioquiacolombiawww.redalyc.org/articulo.oa?id=44727049012
Gscholar,"Ruarte Bazán, Roque",Saldos fiscales regionales del fisco nacional en el federalismo argentino,0,"Nos proponemos estimar los flujos fiscales geográficos netos que ocurren a  través de los mecanismos que opera el gobierno nacional e índices derivados que  sean útiles a la hora de trazar políticas redistributivas interregionales en función del federalismo fiscal argentino real. En pos de ello renovamos la concepción de territorio y presentamos un modelo de federalismo ad hoc para el sistema de gobierno que hoy impera en la Argentina, junto con enfocarnos en el rol fiscal y en la conducta de los administrados residentes, ya sea como contribuyentes o como destinatarios del gasto gubernamental. En el esquema a desarrollar calculamos esos flujos de manera directa o más realista, en el sentido que evitamos el recálculo que requeriría un formato de balanza fiscal regional para distribuir déficit/superávit y obtener una igualdad ficta entre ingresos y egresos totales del gobierno central. Sin embargo, a la manera de nuestros trabajos previos sobre balanzas regionales, en este estudio mantenemos la  particularidad de mostrar por separado los flujos en tres tipos, según se refieran a los: 1. ocasionados por la coparticipación secundaria y afines, 2. encuadrados en las funciones específicas de la administración central, 3. propios de las instituciones de seguridad social nacional. Y, al agregarlos, obtenemos un cuarto cuadro descriptivo de tipo general.Cuando confrontemos las cifras en que se distribuyen territorialmente esos tres, vamos a poder determinar cuán similares o diferentes son las pautas distributivas aplicadas en cada uno. La elección de estas pautas es materia de las políticas de redistribución del ingreso, de desarrollo económico y de sustentación institucional del federalismo. Aunque trabajamos metodológicamente con el enfoque carga-beneficio para imputar  geográficamente los recursos y gastos gubernamentales, como nuestra idea es coadyuvar a los distintos hacedores, quienes deben considerar la factibilidad de obtener apoyo político para la implementación, también mostramos las cifras del enfoque del flujo monetario. El alcance espacial cubre el mapa argentino y, para el cálculo de los flujos  fiscales, lo dividimos en 24 distritos nacionales que empero designamos con los mismos nombres de las provincias y de Capital Federal, sin perjuicio de trazar regiones apropiadas para el análisis de resultados. El alcance temporal es peculiar al extenderse al sexenio 2001 - 2006, hecho que nos pone en condiciones de visualizar eventuales cambios coyunturales o estabilidad en los indicadores fiscales regionales durante este período. Comenzamos con breves descripciones conceptuales sobre territorio y federalismo y de un modelo de federalismo argentino; luego desarrollamos conceptualmente el esquema de Saldos Fiscales Regionales y las cuestiones metodológicas; a continuación ofrecemos los resultados numéricos en gráficos y tablas junto con observaciones y finalmente hacemos síntesis y conclusiones",0,"Federalismo, federalismo fiscal, regiones, coparticipación, Argentina. Clasificación JEL: H71, H 73 y H 77",0,Jornadas Públicas,2014,https://rdu.unc.edu.ar/handle/11086/1404?locale-attribute=es
Gscholar,"Echevarria, Ada Lilian; Marano, Claudia Fabiana; Cocimano, María; Fanjul, M. E.; Cormenzana Méndez, A.","Composición y variación de la comunidad de aves del Embalse El Tunal, Salta, Argentina",0,"En este trabajo se describe la composición específica y trófica, la abundan-cia y variación de la composición de la avifauna, durante los años 2005 y 2006 en el Em-balse El Tunal, Salta. Este humedal está construido sobre el Río Juramento a los 25°14'S 64°31'W; abarca 3474 ha en su cota máxima. El mismo está emplazado en un ambiente chaqueño degradado. Se marcaron tres sitios y cinco transectas (500 x 50 m) en cada uno, las que se repitieron dos veces en cada estación a lo largo de un año, con un total de 120 muestras. La avifauna se analizó en base a la Abundancia Relativa, Índice de Importancia Relativa, Índice de Shannon-Wiener y Curva de Rango Abundancia. Se registraron un total de 101 especies de 38 familias. Del total de las especies, 32 son migratorias (siete Neárticas-Neotropicales y 25 Regionales). Dos ensambles fueron los más representativos, él de las aves que buscaban el alimento entre la vegetación y él de las que lo hacen caminando. De-bido a la fluctuación anual en los niveles de agua que afectan la disponibilidad de los recur-sos, las variaciones en la composición de esta comunidad de aves serían, en su mayor parte, producidas por las especies migratorias provenientes del hemisferio Norte. Palabras Claves: Aves, Humedales, Embalse El Tunal, migratorias. Abstract — "" Composition and variation of a bird community at El Tunal Reservoir, Salta, Argentina "". In this study, we describe the species and trophic composition, and abundance and variation of bird species, during 2005 and 2006, in Tunal Reservoir, Salta. This wetland is built on the Juramento River at 25°14'S 64°31'W and it covers 3474 ha at its highest level. It is located in a degraded Chaco environment. We marked three sites with five transects (500 x 50 m) in each. We sampled these transects twice during each season, for a year, with a total of 120 samples. We analyzed the avifauna based on: Relative Abundance, Relative Importance Index, Shannon-Wiener Index and Abundance Rank Curve. We recorded 101 species from 38 families. Of all the species, 32 are migrants (seven are Neartic-Neotropical migrants and 25 are Regionals). Two bird assemblages were the most representative; those that foraged in the vegetation and those that looked for food while walking. Due to yearly water level fluctuations, that affect resource availability, variations in the composition of the bird community may be caused mainly by migratory species from the northern hemisphere.",0,"Aves, Humedales, Embalse El Tunal, migratorias",0,Acta Zoológica Lilloana,2014,http://www.researchgate.net/profile/Ada_Echevarria/publication/274636925_Composicin_y_variacin_de_la_comunidad_de_aves_del_Embalse_El_Tunal_Salta_Argentina/links/55241a3c0cf2b123c5173474.pdf
Gscholar,"Sartori, Juan José Pompilio; de Waidatt, Lucía Rodríguez",Una herramienta pedagógica para la enseñanza del estudio de la evaluación de proyectos de inversión,0,"En el presente artículo se presenta una herramienta pedagógica utilizada para la enseñanza de la formulación y evaluación de proyectos de inversión, materia que forma parte de los últimos años del plan de estudio de las carreras de Licenciatura en Economía, Contador Público, Licenciatura en Administración de Empresas y algunas carreras de ingeniería en las Universidades Argentinas. Se considera que las TIC son herramientas al servicio de esa tarea y se les adjudica la posibilidad de ayudar a los estudiantes para ser buscadores y analizadores de información, solucionadores de problemas, usuarios creativos y eficaces, colaboradores, productores, ciudadanos informados responsables y capaces de contribuir a la sociedad. Luego de realizar una breve introducción, se presenta una descripción de la herramienta utilizada en la enseñanza de la formulación y evaluación de proyectos de inversión. Se trata de un archivo Excel, con programación visual basic subyacente, que permite a los alumnos concentrarse en la formulación del proyecto de inversión, la identificación de las principales variables a considerar, su valoración económica y en la interpretación y análisis de los resultados de la evaluación financiera del proyecto de inversión ",0,"planilla de cálculo, evaluación de proyectos de inversión",0,,2014,http://www.researchgate.net/profile/Juan_Sartori/publication/263652247_Una_herramienta_pedaggica_para_la_enseanza_del_estudio_de_la_evaluacin_de_proyectos_de_inversin/links/0deec53ba89f18dd91000000.pdf
Gscholar,"Gordillo, Alejandra María",Comunicación-Educación: un vínculo desde el cual pensar el desarrollo personal y social,0,"El presente trabajo es una reflexión sobre las posibilidades que ofrece la educación como factor de desarrollo personal y colectivo, a partir del marco de referencia que ofrece el análisis de la Comisión Económica para América Latina y el Caribe (CEPAL), en el documento “Juventud y cohesión social en Iberoamérica: un modelo para armar”. El eje central de reflexión es el potencial de desarrollo de capacidades que ofrece la educación y las derivaciones personales y sociales que deben sortearse cotidianamente para poder alcanzar esa meta en una sociedad donde la comunicación y el conocimiento adquieren relevancia. Es una reflexión teórica que se entreteje con aportes derivados de la experiencia docente con jóvenes estudiantes de  la Licenciatura en Comunicación Social, donde se dvierten trayectos educativos heterogéneos y sus vinculaciones con mayores y mejores oportunidades de desarrollo personal y social",0,"comunicación, educación, juventudes",0,Question,2014,http://perio.unlp.edu.ar/ojs/index.php/question/article/viewArticle/2214
Gscholar,"Gordillo, Alejandra María",COMUNICACIÓN Y CULTURA EN LAS SOCIEDADES ACTUALES: REFLEXIONES SOBRE LOS CAMBIOS Y LAS TRANSFORMACIONES EN LOS VÍNCULOS SOCIALES E INSTITUCIONALES,0,"La instancia socio cultural contemporánea muestra cambios y transformaciones en la concepción de lo institucional heredada de la Modernidad. La incorporación de las innovaciones de la tecnología vinculada a la comunicación y los rasgos posmodernos en la sociedad introdujeron nuevos modos de establecimiento de lazos sociales entre los sujetos y entre éstos y las instituciones, reconfigurando las formas de sociabilidad, de reconocimiento y vínculo social, transferencia de la herencia cultural, participación ciudadana, inserción en el mercado laboral. La vinculación Comunicación - Educación - Cultura se actualiza, atravesando procesos de socialización y reconocimiento social en los que estas prácticas están imbricadas",0,"Comunicación, cultura, educación, lazos sociales, instituciones, Modernidad/Postmodernidad, nuevas tecnologías",0,Dialogos,2014,http://dialogosfelafacs.net/wp-content/uploads/2014/08/89_Revista_Dialogos_COMUNICACIoN_Y_CULTURA_EN_LAS_SOCIEDADES_ACTUALES_.pdf
Gscholar,"Cristina, Alejandra Daniela; Navarrete, José Luis",Pobreza y Análisis de Dominancia en Argentina,0,"El presente trabajo analiza la evolución de la pobreza en Argentina y en el Gran Córdoba. El análisis muestra que la pobreza ha disminuido en los aglomerados urbanos y en el Gran Córdoba, aunque la magnitud de la misma depende de la línea de pobreza empleada. Para llevar a cabo estimaciones inequívocas de la evolución de la pobreza, se utiliza el método de dominancia estocástica para determinar cómo ha evolucionado la pobreza, observándose reducción de la misma en el rango relevante",0,"Clave: Pobreza Absoluta, Pobreza Relativa, Dominancia Estocástica",0,Actualidad Económica,2014,http://www.revistas.unc.edu.ar/index.php/acteconomica/article/view/9533
Scopus,"Chade Vergara, Pablo Oscar",Superación de las visiones deformadas de las ciencias a partir de la incorporación de la historia de la física a su enseñanza,0,"Partiendo del excelente trabajo publicado por Isabel Fernández, Daniel Gil, Jaime Carrascosa, Antonio Cachapuz y Joao Praia (2002) y enrolados en la corriente didáctica que considera  imprescindible la incorporación de la Historia de la Física en su Enseñanza, este trabajo demuestra cómo la Historia de la Física puede ser utilizada para corregir las visiones deformadas, tergiversadas, sesgadas y erróneas que de la Ciencia Física se transmiten a través de su enseñanza",0,Visiones Deformadas; Historia de la Física; Enseñanza de la Física,0,Revista Eureka sobre Enseñanza y Divulgación de las Ciencias,2014,http://rodin.uca.es/xmlui/handle/10498/15711
Gscholar,"Belzagui, Pablo René",Cuando el ciudadano se violenta. Algunos apuntes para su reinterpretación,0,"Los actos de violencia en que algunos ciudadanos incurrieron durante los amotinamientos policiales de fines de 2013 son el marco de referencia donde poner a dialogar textos de Cornelius Castoriadis, a través de la interpretación de Javier Cristiano, con otros producidos por estas tierras, como los de Rodolfo Kusch y Octavio Paz, para ensayar “viejas formas nuevas” de revisar los actos de violencia sucedidos.",0,Comunicación; sociedad; violencia,0,Question,2015,https://www.perio.unlp.edu.ar/ojs/index.php/question/article/view/2492
Scopus,"Bono, Laura Cecilia; Ferreyra, Horacio Ademar",Aportes para pensar desde una perspectiva bioética,0,"Para orientar los procesos de decisiones en la esfera pública, resulta pertinente conocer la percepción de los ciudadanos respecto de la ciencia y la tecnología. Partimos del reconocimiento de la importancia del desarrollo y apropiación del conocimiento científico y tecnológico, enmarcados en perspectivas bioéticas e influenciados por ellas. La propuesta se contextualiza en acciones en desarrollo en Argentina para el fomento de la ciencia y la tecnología, a través del proyecto Percepción y participación ciudadana para una cultura científica-tecnológica en la provincia de Córdoba, Argentina, que incluye aspectos asociados a valoraciones, creencias y prejuicios sociales y culturales, entretejidas con lo ético. Se aportan reflexiones en torno a los aspectos bioéticos y se espera que el producto de la investigación y sus derivados sean aportes a la comunidad e insumos para el diseño de un modelo de participación ciudadana que fomente el uso de los resultados de la investigación en beneficio de la humanidad",0,"Ciencia, tecnología, percepción, ciudadanía, bioética",0,,2015,http://www.scielo.org.co/pdf/rlb/v15n2/v15n2a10.pdf
Scopus,"Varela, Omar; Parrado, María F.; Buedo, Sebastián E.","Diversidad de plantas vasculares del valle Antinaco-Los Colorados, La Rioja, Argentina",0,"El valle Antinaco-Los Colorados es una extensa planicie de la ecorregión del Monte en el centro-oeste de La Rioja (Argentina). Este estudio proporciona un inventario exhaustivo de la diversidad de plantas vasculares que crecen espontáneamente en el valle. En 90 viajes de campo se registraron 264 especies de 57 familias y 181 géneros en 4 tipos de vegetación. Se mencionan 18 citas nuevas para la provincia. Las cinco familias más diversas fueron Asteraceae (35 spp., 13%), Poaceae (32 spp., 12%), Fabaceae (19 spp., 7%), Solanaceae (19 spp., 7%) y Cactaceaae (16 spp., 6%). Los géneros mejor representados fueron Tillandsia (10 spp.), Solanum (6 spp.), Atriplex (5 spp.), Lycium (5 spp.) y Prosopis (5 spp.). El 13% de las especies (35) son introducidas, principalmente de las familias Poaceae (7 spp.), Asteraceae (5 spp.), Brassicaceae (5 spp.) y Chenopodiaceae (5 spp.). El valle incluye 84 endemismos de nivel nacional, regional y provincial, y en su mayoría (41%) corresponden a Cactaceae (13 spp.), Asteraceae (9 spp.), Solanaceae (7 spp.), Chenopodiaceae (6 spp.) y Euphorbiaceae (6 spp.). Las formas de vida dominantes fueron los Fanerófitos (29%), Terófitos (28%) y Hemicriptófitos (21%). El valle concentra aproximadamente el 17% de la diversidad de plantas vasculares conocida para La Rioja.",0,"lora vascular, Catálogo florístico, endemismos, formas de vida, Monte, Vegetación",0,Boletín de la Sociedad Argentina de Botánica,2015,http://www.revistas.unc.edu.ar/index.php/BSAB/article/view/12528
Gscholar,"Gordillo, Alejandra María",El valor agregado de la comunicación al interior de las organizaciones,0,"El texto aborda lo más sobresaliente de la comunicación al interior de las organizaciones. Valora la gestión de la misma para crear identidad y valores compartidos, en cualquier marco institucional-organizativo.",0,"Comunicación, comunicación institucional; comunicación interna; organizaciones; instituciones",0,Razón y palabra,2015,http://dialnet.unirioja.es/servlet/articulo?codigo=5183615&orden=0&info=link
Scopus,"Ortiz P.E., Jayat J.P.","Primer Registro fósil para dos especies de Sigmodontinos (Rodentia, Cricetidae) Endémicas del extremo Sur de Las Yungas de Argentina",0,,0,"Primer Registro Fósil Para dos Especies de Sigmodontinos (Rodentia, Cricetidae) Endémicas del Extremo Sur de las Yungas de Argentina",0,Ameghiniana,2013,http://www.bioone.org/doi/abs/10.5710/AMGH.10.06.2013.673?journalCode=ameg
Scopus,"Ortiz P.E., Jayat J.P., Nasif N.L., Teta P., Haber A.","Roedores del Holoceno tardío de la Puna de Atacama, sitio arqueológico Tebenquiche Chico, Catamarca, Argentina",0,"Se estudió una muestra de roedores proveniente del yacimiento arqueológico de Tebenquiche Chico, situado en el departamento Antofagasta de la Sierra, provincia de Catamarca, a 520 m de altitud y próximo al salar de Antofalla. El sitio corresponde a un pequeño asentamiento habitado entre los siglos IV y XII y reocupado en el siglo XVII de nuestra era. Los restos óseos fueron recuperados en el interior de las estructuras habitacionales del sitio arqueológico, situado en las proximidades de una pequeña vega, antiguas acequias de riego y campos agrícolas. Se han registrado los taxones Abrothrix andinus, Phyllotis xanthopygus, Phyllotis sp., Neotomys ebriosus, Chinchilla chinchilla, Lagidium sp., Ctenomys sp. y Abrocoma cinerea. Se describen en detalle los numerosos caracteres cráneo-dentarios que permiten la distinción entre los géneros Chinchilla y Lagidium a partir de restos fragmentarios, dos taxones ampliamente utilizados como recurso básico en la economía de los pueblos de los Andes centrales. Con la excepción de Neotomys ebriosus, todas las especies registradas en el yacimiento habitan actualmente en esta región de la Puna. Destaca el registro de N. ebriosus, sólo documentada actualmente en los sectores montañosos húmedos orientales de la región. La amplitud temporal, el carácter exiguo de la muestra, la ausencia de muestras modernas comparables y la modificación antrópica del paisaje local impiden la reconstrucción de las condiciones paleoambientales a partir de los roedores de Tebenquiche Chico.",0,"Micromamíferos, Rodentia, Chinchillidae, Sigmodontinae, Holoceno tardío, Registro zooarqueológico, Altos Andes, Noroeste argentino, Atacama.",0,Archaeofauna,2012,https://revistas.uam.es/archaeofauna/article/view/6399
Scopus,"Ortiz P.E., Rodrigo González F., Pablo Jayat J., Pardiñas U.F.J., Cirignoli S., Teta P.",Diet of the Magellanic Horned Owl (Bubo magellanicus) in Andean localities of northwestern Argentina [DIETA DEL BÚHO MAGALLÁNICO (BUBO MAGELLANICUS) en LOS ANDES DEL NOROESTE ARGENTINO],0,"Se estudió la dieta del Búho Magallánico (Bubo magellanicus) en tres localidades andinas de altura del noroeste de Argentina. De este a oeste, las localidades se ubicaron en tres contextos ambientales diferentes: pastizales de altura de Yungas (Valle Encantado), Monte de Sierras y Bolsones (La Poma) y Puna (Las Cuevas). Se identificaron 1532 ítems presa, mayormente correspondientes a mamíferos con pesos < 500 g y secundariamente aves y artrópodos. Las especies del género Phyllotis, un roedor sigmodontino de hábitos rupícolas y costumbres nocturnas, fueron el ítem más depredado por los búhos. Estudios previos coinciden en destacar la importancia de estos roedores como presas de ésta y otras lechuzas en áreas andinas de altura de Argentina y Chile. En las tres localidades una o dos presas contribuyeron con más del 50% de la biomasa en la dieta. Los valores de nicho trófico estandarizado oscilaron entre 0,07 y 0,33, mientras que el peso medio de las presas varió entre 40,9 y 49,1 g. La amplitud de nicho trófico y este mismo índice estandarizado variaron en forma inversa con la altura, mientras que el peso medio de las presas no varió a lo largo del gradiente. Nuestros resultados son coincidentes con reportes de la literatura que indican que el Búho Magallánico se comporta mayormente como un depredador especializado en el consumo de pequeños mamíferos. No obstante, para lograr un conocimiento integral de la ecología trófica de este búho en áreas andinas de altura son necesarios estudios adicionales que evalúen las fluctuaciones estacionales de las presas así como las relaciones entre estas variaciones y su abundancia real en el campo. Aceptado el 26 de Noviembre de 2010.",0,"Andes, Bubo magellanicus, diet, high altitude grasslands, Monte, northwestern Argentina, Puna",0,Ornitologia Neotropical,2010,http://s3.amazonaws.com/academia.edu.documents/39256506/Ortiz_et_al_2010._Dieta_Bubo.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1491530058&Signature=ImSPSwXSoJLnJYnj%2FKfhOxhW0L4%3D&response-content-disposition=inline%3B%20filename%3DDieta_del_Buho_Magallanico_Bubo_magellan.pdf
